DataBuildNum,GameTime,GameType,Map,ReplayId
47479,1458,Quick Match,Infernal Shrines,bafe47bc54d9738e18a75d834e884a79
47479,1659,Quick Match,Tomb of the Spider Queen,a5cb30360a07bfee4a2f720183a2df80
47479,1258,Quick Match,Dragon Shire,bb786411319db811d2a1d19144921eb1
47479,938,Quick Match,Towers of Doom,df384fe8f6a61f93ce45860546a38660
47479,1205,Quick Match,Blackheart's Bay,ed7e995797f60f813e06ab2b64107f29
47479,1224,Hero League,Garden of Terror,4bf383ec0255fa0aa98f626d68dcf4e1
47479,1352,Quick Match,Hondonada maldita,0a973ed3c8edba329271c84ad96ee6e1
47479,1546,Quick Match,Tomb of the Spider Queen,d3e6ae513baa83b0aa04d2a61d5c4547
48027,1219,Quick Match,Warhead Junction,efa113772245a742a64426fb199be507
47479,1083,Hero League,Battlefield of Eternity,3cf6052f31aada06afb86d133ae10b69
47479,894,Hero League,Garden of Terror,bfb0e9b2eff9b2c258ca90a292583094
47479,1086,Hero League,Cursed Hollow,3cfa82be581c655e915d0690ad6c06d6
47479,1390,Hero League,Tomb of the Spider Queen,39f7933e0dd0d1cf8bc9f5d613ca0ea5
47479,1735,Hero League,Battlefield of Eternity,0420fd38e3ea7bc2dc0f2e2fc3d722ce
47479,893,Unranked Draft,Tomb of the Spider Queen,2fe97cb7674766f7cafe5321e7ee7a64
47479,977,Hero League,Battlefield of Eternity,665222202ea0bd4d0a5f8f57c7af4987
47479,894,Hero League,Battlefield of Eternity,aa908db984732f16e33f20611fbf3e36
47479,1208,Team League,Towers of Doom,b39cdc25c6d4da05e7e4cf3c468f647f
47479,1025,Unranked Draft,Tomb of the Spider Queen,88aa40bb5fc166c0c91d975ad6b5db5b
48027,1508,Hero League,Battlefield of Eternity,9801ca21d420ade1ceb8c37522f37caa
47479,1005,Quick Match,Dragon Shire,8b87f113f52b8105793ee25c56fbd856
47479,1499,Hero League,Dragon Shire,7c0f7cad7f3fad5ab8e5a8419beb0989
47479,973,Hero League,Sky Temple,4089f517cf02cadcdd9979b2e5e1ea07
48027,1490,Hero League,Tomb of the Spider Queen,1f5dfd5070d4951e7fb71cf27cbfbb3a
47903,995,Hero League,Cursed Hollow,7a093f2850e42c28087eb661c2da4501
47903,1648,Quick Match,Infernal Shrines,e59f4f58fba1754f868aeb36d222eac1
47903,1224,Quick Match,Braxis Holdout,8d19ac0ffc282f8e43c18a431226c64a
47903,866,Team League,Warhead Junction,79b766a260191454ca3eb81834b9d5f9
48027,1361,Hero League,Braxis Holdout,64a88d8752fa444fda610724be08746c
47479,1129,Hero League,Dragon Shire,c21be1c59a7f19e2cf53609fd36bff08
47479,945,Hero League,Sky Temple,077ec96fcfbf2c5aa228699e669312f8
47479,1063,Hero League,Tomb of the Spider Queen,304a704a68f12094094471b2c724a215
47479,978,Hero League,Warhead Junction,8a76fa305b1eb0ffa32078ac33e274d0
47479,1122,Hero League,Garden of Terror,fc3c2ec377004e0e9becaa2b9391eee3
47479,887,Hero League,Battlefield of Eternity,05e34992b7cb0a00ddf37ce69b9a6cd2
47479,782,Hero League,Towers of Doom,4fc0d56db345f4971686ac84e933abdb
47479,887,Hero League,Braxis Holdout,48772336b6e0ce7307269fb63dec85f8
47479,621,Hero League,Infernal Shrines,1eb45454caafba20ec35a708466dbeaf
47479,1007,Hero League,Tomb of the Spider Queen,005993e0e112eac7a2b40b816fa8ab71
47479,1066,Hero League,Blackheart's Bay,31adc527ea9c0b78454d9a4774e1b982
47479,1049,Quick Match,Warhead Junction,a427c0a1c67aede36fafe061fc54416f
47479,1243,Hero League,Garden of Terror,11e869b087c7f3c0447d64bc8b12004e
47479,1368,Hero League,Braxis Holdout,959a6b66ff47b4b03c5a0361443365ef
47479,1333,Hero League,Tomb of the Spider Queen,043f5ba6a636a641b2f9958b4f2ce835
47479,1257,Hero League,Towers of Doom,e98cfd0492227017ab1fc908f7e25ae7
47479,1045,Hero League,Braxis Holdout,65fe25da6c33104277e7e23849af60cc
47219,1408,Hero League,Braxis Holdout,f3b2b539889c6ffd296939c271dc550b
47219,1151,Unranked Draft,Dragon Shire,c68613045a0561eea70fe9a245ab361c
47219,1276,Hero League,Cursed Hollow,eb7430b6ed31cd0212425dda4b7f8f90
47219,1077,Hero League,Warhead Junction,2d17e68dd3a2d73e464cd3a256419fac
47219,991,Quick Match,Blackheart's Bay,c0a71ebd956c0ddd373b2fac1cdcea29
47219,785,Hero League,Templo celeste,93566e233cbed3160cdc69f805ca5ea1
47219,785,Custom,Blackheart's Bay,0bc3dffd77884ce10d3484beb47521c8
47219,1007,Quick Match,Towers of Doom,4bc128ba127267e7c28569140cf193ff
47219,1636,Hero League,용의 둥지,a23a307b510212bd3f4bff904b501696
47219,1461,Hero League,Infernal Shrines,d8e062c2bc2d6be1894c91f324eb0cd7
47219,1152,Hero League,Battlefield of Eternity,144b8c4e28d3f6b8f9e1cdae7931aa90
47219,1146,Hero League,Cursed Hollow,8b9ca56ac37004d2ca38c15164ffa023
47219,1227,Unranked Draft,Garden of Terror,74c60a06113f7ed1cdf87d6b14520477
47219,1002,Team League,Garden of Terror,5c5decaca034429d519514dc0e8e1a0f
47219,975,Hero League,Cursed Hollow,00a61ca73c0af2edb73960c4377ddf49
47219,999,Hero League,Infernal Shrines,d53e251595f83cda87607d62f2b87a0c
47219,1636,Hero League,Tomb of the Spider Queen,b2c68c3bd021fa5417ab09a117a2d332
47219,1166,Hero League,Battlefield of Eternity,390007b0014208b93cc44c6486883660
47219,1584,Hero League,Cursed Hollow,43e1b6448e5433a2584305a8ea0f4dfb
47219,1375,Hero League,Blackheart's Bay,38db305c3bb99b094d8c4a2c59da32dc
47219,1286,Hero League,Dragon Shire,456c2e38cbffc80d9569d9080318b001
47133,1007,Quick Match,Warhead Junction,1a62de6fe04d74c698a5d9df34b98c51
47133,1402,Quick Match,Cursed Hollow,3cedaad3d0c55b3e4e709ae27c58001c
47133,847,Quick Match,Cursed Hollow,1fbb8eb43052395878cdc117ac3c62e6
47219,1230,Hero League,Towers of Doom,2a308ec06d740caad986432bca3709bf
47133,1602,Unranked Draft,Dragon Shire,87d899923391c1b3258437d9663d53d8
47133,1217,Quick Match,Battlefield of Eternity,bb1fbd8b3b08888255612f2188c76ee1
47133,1601,Hero League,Towers of Doom,d8f662c314315328f76d78f66df4d2d9
47133,1667,Team League,Battlefield of Eternity,afe4c0a616cb143bf5b6575d95f43360
47133,869,Team League,Battlefield of Eternity,1969d4a9c16d6a78c80eb89d4a841823
47133,1055,Quick Match,Battlefield of Eternity,32d9f0b6cef54d983186c09db9a04675
47133,1252,Hero League,Warhead Junction,cefd1fcec494fa573bc76181fdd72ace
47219,1315,Hero League,Bahía de Almanegra,c1b07407c329bb92ede81f421e32e651
46889,1229,Hero League,Braxis Holdout,4a6967ab375c5e0278c5bb8b785b680f
46889,1548,Quick Match,Cursed Hollow,0f96434f0735ff9279f8722ab7d1e48e
46889,1597,Hero League,Cursed Hollow,8f84279ae5314a22f72bca81e2ea1ad1
46889,1302,Hero League,Braxis Holdout,700896f0ac81310c3503cbbbd820560c
46889,1469,Hero League,Towers of Doom,3f040eaad597a996871cb7fda74687c4
46869,1679,Quick Match,Battlefield of Eternity,33b7df1733980d7722c55d8420c670ab
46869,1116,Quick Match,Towers of Doom,838ee21fbde023195486ad1a254334ec
46869,910,Hero League,Towers of Doom,d105399e03006d843a61bfdd70b0778f
46869,1635,Hero League,Warhead Junction,0f4bb887fb6e4f0fd084860969e7203f
46869,922,Unranked Draft,Cursed Hollow,fe75b9bc112bdd7acd294ed2c580fe34
46869,1468,Hero League,Braxis Holdout,27731690ed93aa2ed258bf95af465001
46869,776,Hero League,Braxis Holdout,be25c9a2a0d529d83523a5d7d00edf0a
46869,825,Hero League,Cursed Hollow,30212713025244fea81f61825006691c
46869,1116,Hero League,Braxis Holdout,6bea878f5e0517a1ac24b246daa0d972
46869,1588,Hero League,Dragon Shire,f7428e4ef7054ffd1ccc5a2178b81a22
46869,1024,Hero League,Cursed Hollow,ff2b65ec174db75f6813afec014cd725
46869,1180,Hero League,Battlefield of Eternity,a6da9c06c9e110464579f373b9852b52
46889,1339,Quick Match,Cursed Hollow,6f809f850bd13c51082b3bc68ed750be
46869,1496,Quick Match,Battlefield of Eternity,8c5ad4bddcca76636e552fc280fcf0d5
46869,1384,Quick Match,Battlefield of Eternity,8ef2d64a21dd6930b7fbc44f43b9c414
46869,1221,Hero League,Dragon Shire,18933fe1445f0193b92313357542e7b3
46869,1286,Unranked Draft,Warhead Junction,4f7987883a1a6e7fd3b284f334483810
46869,1007,Hero League,Braxis Holdout,68c6ee52084f61acb2465827ae16a776
46787,997,Hero League,Resistência de Braxis,53d056275b3b156cd217f1b1a7bee872
46690,990,Hero League,Braxis Holdout,62e080e4ed5ed54aed4a8a9573ee0fdf
46690,2264,Hero League,Cursed Hollow,405d40e456c3d162cb1ab6962f20758b
46690,1354,Hero League,Cursed Hollow,fa97830f56f8ddda23b8afb4a73399f0
46690,971,Hero League,Towers of Doom,e5bac3be398bdcac5ce7bdf6331ca088
46889,1159,Hero League,Campo de Batalha da Eternidade,b17f8a2720b68c7890c508ed72c4ea62
46690,1197,Hero League,Battlefield of Eternity,c02d8a1e36273bf82d9888c149057f32
46690,1266,Quick Match,Braxis Holdout,11df0119525a510d8573182651a3c8c0
46690,892,Unranked Draft,Dragon Shire,6cd86d14fab7219a42c5f7b37fcaedc5
46690,1610,Quick Match,Junção da Ogiva,a7a2aab37a9ed9630c7b3a150b300fff
46446,1383,Quick Match,Towers of Doom,eebfb37e157f2b866c1df034a5841899
46446,817,Unranked Draft,Braxis Holdout,edfc268cbf2d753233d3064945cf3e67
46446,1233,Hero League,Towers of Doom,262608e9e1e3b8b32548393767b38281
46446,837,Hero League,Braxis Holdout,fd1d6581916be992d33d407585fdc97d
46446,1760,Quick Match,Infernal Shrines,f1c00eadf64bcd13daef2af203149638
46446,916,Hero League,Tomb of the Spider Queen,9204097a9a3323646a229405e25c04cc
46446,1293,Hero League,炼狱圣坛,63d19d159e1ec74efe42b9d14f400529
46446,1091,Hero League,Cursed Hollow,2306756e7dc4f9e4f382dd6a35f40107
46446,1101,Quick Match,Braxis Holdout,97588322327387e8e8c1a14bfe48b1fe
46446,972,Quick Match,Towers of Doom,f6c75a4b57f8ced53e651a3b444f9663
46446,1210,Hero League,Infernal Shrines,1d91443ef448512ffbb7a87542cb7ac3
46446,1499,Team League,Infernal Shrines,019547e26cdd6410e755d4febfec9d89
46446,986,Quick Match,Clareira Maldita,96aa3ecb72af07de46da29e6127c1162
46446,999,Quick Match,Tomb of the Spider Queen,ed2bb4574047e4bec01b38c8b0306bd0
46446,1251,Quick Match,Braxis Holdout,28a8c7cac8634b2bd75e1df853ec4208
46446,1801,Quick Match,Cursed Hollow,0f3f78964cb16ffcdb7453774dcbfb55
46446,1350,Quick Match,Cursed Hollow,bd4c6c1d7036f28c6d762cc9d7c94c70
46446,1511,Custom,Infernal Shrines,737a0cf0e5e57d006b033eccb7db2c28
46446,1154,Quick Match,Towers of Doom,352c821eaa655e03a38955d6d28992ed
46446,1457,Hero League,Braxis Holdout,bb685f0d8ec3dac620723d4a12e5b95e
46446,1112,Hero League,Infernal Shrines,ff42f9e858fb06da0e318d8c5bd714d8
46446,1130,Quick Match,Sky Temple,f6b56bacb184e7400c588d3bffcac6ab
46446,733,Hero League,Tomb of the Spider Queen,95e84953243905bf1c58990cbcc30a08
46446,1670,Unranked Draft,Braxis Holdout,ebaade3cbda13a457c9a457b5327879c
46446,1140,Custom,Towers of Doom,81c7bf8fea96b4bdeef9115dd1a866d8
46446,1319,Hero League,Tomb of the Spider Queen,38e169029ae23a50c412673f1e7102dd
48297,1344,Quick Match,Tomb of the Spider Queen,3a0dcc6977a6c0591c44fe1f86679c6a
48297,889,Quick Match,Battlefield of Eternity,0f4909d25c1c46d6c765c578a0142c95
48297,1191,Hero League,Sky Temple,acf417d71c94f5729ea3e038c3d77e43
